Rank	Title	Status	Study Results	Conditions	Interventions	Locations	URL
23	Study to Test AKR1C3-Activated Prodrug OBI-3424 (OBI-3424) in Patients With Relapsed/Refractory T-Cell Acute Lymphoblastic Leukemia (T-ALL)	Recruiting	No Results Available	Recurrent T Acute Lymphoblastic Leukemia|Refractory T Acute Lymphoblastic Leukemia	Drug: AKR1C3-activated Prodrug OBI-3424	Kingman Regional Medical Center, Kingman, Arizona, United States|PCR Oncology, Arroyo Grande, California, United States|City of Hope Comprehensive Cancer Center, Duarte, California, United States|Emory University Hospital/Winship Cancer Institute, Atlanta, Georgia, United States|Loyola Center for Health at Burr Ridge, Burr Ridge, Illinois, United States|Northwestern University, Chicago, Illinois, United States|University of Chicago Comprehensive Cancer Center, Chicago, Illinois, United States|Northwestern Medicine Lake Forest Hospital, Lake Forest, Illinois, United States|Loyola University Medical Center, Maywood, Illinois, United States|Marjorie Weinberg Cancer Center at Loyola-Gottlieb, Melrose Park, Illinois, United States|UC Comprehensive Cancer Center at Silver Cross, New Lenox, Illinois, United States|Loyola Center for Cancer Care and Research, Orland Park, Illinois, United States|University of Chicago Medicine-Orland Park, Orland Park, Illinois, United States|Mary Greeley Medical Center, Ames, Iowa, United States|McFarland Clinic PC - Ames, Ames, Iowa, United States|McFarland Clinic PC-Boone, Boone, Iowa, United States|McFarland Clinic PC-Trinity Cancer Center, Fort Dodge, Iowa, United States|McFarland Clinic PC-Jefferson, Jefferson, Iowa, United States|McFarland Clinic PC-Marshalltown, Marshalltown, Iowa, United States|Fairview Ridges Hospital, Burnsville, Minnesota, United States|Minnesota Oncology - Burnsville, Burnsville, Minnesota, United States|Cambridge Medical Center, Cambridge, Minnesota, United States|Mercy Hospital, Coon Rapids, Minnesota, United States|Fairview Southdale Hospital, Edina, Minnesota, United States|Unity Hospital, Fridley, Minnesota, United States|Fairview Clinics and Surgery Center Maple Grove, Maple Grove, Minnesota, United States|Minnesota Oncology Hematology PA-Maplewood, Maplewood, Minnesota, United States|Saint John's Hospital - Healtheast, Maplewood, Minnesota, United States|Abbott-Northwestern Hospital, Minneapolis, Minnesota, United States|Hennepin County Medical Center, Minneapolis, Minnesota, United States|Health Partners Inc, Minneapolis, Minnesota, United States|Monticello Cancer Center, Monticello, Minnesota, United States|New Ulm Medical Center, New Ulm, Minnesota, United States|Fairview Northland Medical Center, Princeton, Minnesota, United States|North Memorial Medical Health Center, Robbinsdale, Minnesota, United States|Park Nicollet Clinic - Saint Louis Park, Saint Louis Park, Minnesota, United States|Regions Hospital, Saint Paul, Minnesota, United States|United Hospital, Saint Paul, Minnesota, United States|Saint Francis Regional Medical Center, Shakopee, Minnesota, United States|Lakeview Hospital, Stillwater, Minnesota, United States|Ridgeview Medical Center, Waconia, Minnesota, United States|Rice Memorial Hospital, Willmar, Minnesota, United States|Minnesota Oncology Hematology PA-Woodbury, Woodbury, Minnesota, United States|Fairview Lakes Medical Center, Wyoming, Minnesota, United States|Carson Tahoe Regional Medical Center, Carson City, Nevada, United States|Cancer and Blood Specialists-Henderson, Henderson, Nevada, United States|Comprehensive Cancer Centers of Nevada - Henderson, Henderson, Nevada, United States|Comprehensive Cancer Centers of Nevada-Horizon Ridge, Henderson, Nevada, United States|Las Vegas Cancer Center-Henderson, Henderson, Nevada, United States|OptumCare Cancer Care at Seven Hills, Henderson, Nevada, United States|21st Century Oncology-Henderson, Henderson, Nevada, United States|Comprehensive Cancer Centers of Nevada-Southeast Henderson, Henderson, Nevada, United States|Las Vegas Urology - Green Valley, Henderson, Nevada, United States|Las Vegas Urology - Pebble, Henderson, Nevada, United States|Urology Specialists of Nevada - Green Valley, Henderson, Nevada, United States|Las Vegas Urology - Pecos, Las Vegas, Nevada, United States|Desert West Surgery, Las Vegas, Nevada, United States|OptumCare Cancer Care at Charleston, Las Vegas, Nevada, United States|University Medical Center of Southern Nevada, Las Vegas, Nevada, United States|Hope Cancer Care of Nevada, Las Vegas, Nevada, United States|Radiation Oncology Centers of Nevada Central, Las Vegas, Nevada, United States|Urology Specialists of Nevada - Central, Las Vegas, Nevada, United States|21st Century Oncology, Las Vegas, Nevada, United States|HealthCare Partners Medical Group Oncology/Hematology-Maryland Parkway, Las Vegas, Nevada, United States|Sunrise Hospital and Medical Center, Las Vegas, Nevada, United States|HealthCare Partners Medical Group Oncology/Hematology-San Martin, Las Vegas, Nevada, United States|Las Vegas Prostate Cancer Center, Las Vegas, Nevada, United States|Las Vegas Urology - Sunset, Las Vegas, Nevada, United States|Radiation Oncology Centers of Nevada Southeast, Las Vegas, Nevada, United States|21st Century Oncology-Vegas Tenaya, Las Vegas, Nevada, United States|Ann M Wierman MD LTD, Las Vegas, Nevada, United States|Comprehensive Cancer Centers of Nevada - Northwest, Las Vegas, Nevada, United States|HealthCare Partners Medical Group Oncology/Hematology-Tenaya, Las Vegas, Nevada, United States|Las Vegas Urology - Cathedral Rock, Las Vegas, Nevada, United States|Las Vegas Urology - Smoke Ranch, Las Vegas, Nevada, United States|OptumCare Cancer Care at MountainView, Las Vegas, Nevada, United States|Urology Specialists of Nevada - Northwest, Las Vegas, Nevada, United States|Alliance for Childhood Diseases/Cure 4 the Kids Foundation, Las Vegas, Nevada, United States|Comprehensive Cancer Centers of Nevada - Town Center, Las Vegas, Nevada, United States|Comprehensive Cancer Centers of Nevada-Summerlin, Las Vegas, Nevada, United States|Summerlin Hospital Medical Center, Las Vegas, Nevada, United States|Las Vegas Cancer Center-Medical Center, Las Vegas, Nevada, United States|21st Century Oncology-Fort Apache, Las Vegas, Nevada, United States|Comprehensive Cancer Centers of Nevada, Las Vegas, Nevada, United States|OptumCare Cancer Care at Fort Apache, Las Vegas, Nevada, United States|Urology Specialists of Nevada - Southwest, Las Vegas, Nevada, United States|HealthCare Partners Medical Group Oncology/Hematology-Centennial Hills, Las Vegas, Nevada, United States|Comprehensive Cancer Centers of Nevada - Central Valley, Las Vegas, Nevada, United States|University Cancer Center, Las Vegas, Nevada, United States|Hope Cancer Care of Nevada-Pahrump, Pahrump, Nevada, United States|Renown Regional Medical Center, Reno, Nevada, United States|Saint Mary's Regional Medical Center, Reno, Nevada, United States|Radiation Oncology Associates, Reno, Nevada, United States|University of Rochester, Rochester, New York, United States|University of Cincinnati/Barrett Cancer Center, Cincinnati, Ohio, United States|Cleveland Clinic Foundation, Cleveland, Ohio, United States|Oregon Health and Science University, Portland, Oregon, United States|Virginia Commonwealth University/Massey Cancer Center, Richmond, Virginia, United States|Overlake Medical Center, Bellevue, Washington, United States|Valley Medical Center, Renton, Washington, United States|Fred Hutchinson Cancer Research Center, Seattle, Washington, United States|Seattle Cancer Care Alliance, Seattle, Washington, United States|University of Washington Medical Center - Montlake, Seattle, Washington, United States|West Virginia University Healthcare, Morgantown, West Virginia, United States|Cancer Center of Western Wisconsin, New Richmond, Wisconsin, United States	https://ClinicalTrials.gov/show/NCT04315324
24	Optimization of Therapy in Adult Patients With Newly Diagnosed Acute Lymphoblastic Leukemia or Lymphoblastic Lymphoma by Individualised, Targeted and Intensified Treatment	Recruiting	No Results Available	Acute Lymphoblastic Leukemia|Lymphoblastic Lymphoma	Drug: Rituximab|Drug: Nelarabine|Drug: PEG-Asparaginase|Procedure: Cranial irradiation|Drug: Imatinib|Drug: Idarubicin|Drug: Dexamethasone|Drug: Cyclophosphamide|Drug: Fludarabine|Drug: Vincristine|Drug: Mercaptopurine|Drug: VP16|Drug: Daunorubicin (DNR)|Drug: Methotrexate|Procedure: Stem cell transplantation|Drug: Cytarabine|Drug: Vindesine|Drug: Adriamycin|Drug: Prednisolone	University Hospital of Frankfurt (Main), Frankfurt (Main), Germany	https://ClinicalTrials.gov/show/NCT02881086
25	Palbociclib and Dexamethasone in Treating Participants With Relapsed or Refractory B-Cell Acute Lymphoblastic Leukemia	Recruiting	No Results Available	Recurrent B Acute Lymphoblastic Leukemia|Refractory B Acute Lymphoblastic Leukemia	Drug: Palbociclib|Drug: Dexamethasone	Sidney Kimmel Cancer Center at Thomas Jefferson University, Philadelphia, Pennsylvania, United States	https://ClinicalTrials.gov/show/NCT03472573
26	Addition of Gemcitabine to Pre Allo-HSCT Conditioning for Acute Lymphoblastic Leukemia	Recruiting	No Results Available	Acute Lymphoblastic Leukemia, Adult	Drug: Gemcitabine|Drug: Busulfan|Drug: Cyclophosphamide|Procedure: Allogeneic Hematopoietic Stem Cell Transplantation	Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran, Mexico City, Distrito Federal, Mexico	https://ClinicalTrials.gov/show/NCT03339700
27	A Comparison of Reduced Dose Total Body Irradiation (TBI) and Cyclophosphamide With Fludarabine and Melphalan Reduced Intensity Conditioning in Adults With Acute Lymphoblastic Leukaemia (ALL) in Complete Remission. (ALL-RIC)	Recruiting	No Results Available	Acute Lymphoblastic Leukemia	Drug: Fludarabine|Drug: Melphalan|Drug: Alemtuzumab|Drug: Cyclophosphamide|Drug: Mesna|Radiation: Total Body Irradiation (8Gy)	Heart of England Nhs Foundation Trust, Birmingham, United Kingdom|University Hospitals Birmingham Nhs Foundation Trust, Birmingham, United Kingdom|University Hospitals Bristol Nhs Foundation Trust, Bristol, United Kingdom|Cambridge University Hospitals Nhs Foundation Trust, Cambridge, United Kingdom|Cardiff and Vale University Health Board, Cardiff, United Kingdom|NHS Greater Glasgow and Clyde, Glasgow, United Kingdom|Leeds Teaching Hospitals Nhs Trust, Leeds, United Kingdom|University Hospitals of Leicester Nhs Trust, Leicester, United Kingdom|The Clatterbridge Cancer Centre Nhs Foundation Trust, Liverpool, United Kingdom|Barts Health Nhs Trust, London, United Kingdom|University College London Hospitals Nhs Foundation Trust, London, United Kingdom|Kings College Hospital, London, United Kingdom|The Royal Marsden Nhs Foundation Trust, London, United Kingdom|Imperial College Healthcare Nhs Trust, London, United Kingdom|The Christie Nhs Foundation Trust, Manchester, United Kingdom|Central Manchester University Hospitals Nhs Foundation Trust, Manchester, United Kingdom|The Newcastle Upon Tyne Hospitals Nhs Foundation Trust, Newcastle, United Kingdom|Nottingham University Hospitals Nhs Trust, Nottingham, United Kingdom|Oxford University Hospitals Nhs Foundation Trust, Oxford, United Kingdom|Plymouth Hospitals Nhs Trust, Plymouth, United Kingdom|Sheffield Teaching Hospitals Nhs Foundation Trust, Sheffield, United Kingdom|University Hospital Southampton Nhs Foundation Trust, Southampton, United Kingdom	https://ClinicalTrials.gov/show/NCT03821610
28	Study of IFN-α Combined With CAR-T Cell Therapy in Relapsed and Refractory Acute Lymphoblastic Leukemia（R/R-ALL）	Recruiting	No Results Available	B-cell Acute Lymphoblastic Leukemia	Combination Product: IFN-α combined with CAR-T cell therapy	The First Affiliated Hospital of Soochow University, Suzhou, Jiangsu, China	https://ClinicalTrials.gov/show/NCT04534634
29	Obinutuzumab Versus Rituximab for Acute Lymphoblastic Leukemia/PALG ALL7 OVERALL	Not yet recruiting	No Results Available	CD20-positive Acute Lymphoblastic Leukemia	Drug: Obinutuzumab|Drug: Rituximab	Klinika Hematologii z Pododziałem Chorób Naczyń Uniwersyteckiego, Białystok, Poland|Oddział Hematologii Onkologicznej Podkarpacki Ośrodek Onkologiczny, Brzozów, Poland|Klinika Hematologii i Transplantologii Gdańskiego Uniwersytetu Medycznego, Gdańsk, Poland|Klinika Transplantacji Szpiku i Onkohematologii Narodowy Instytut Onkologii im. Marii Skłodowskiej-Curie Państwowy Instytut Badawczy, Oddział w Gliwicach, Gliwice, Poland|Klinika Hematologii i Transplantacji Szpiku, Samodzielny Publiczny Szpital Kliniczny, Katowice, Poland|Klinika Hematologii i Transplantacji Szpiku, Świętokrzyskie Centrum Onkologii, Kielce, Poland|Klinika Hematologii Collegium Medicum Uniwersytetu Jagiellońskiego, Kraków, Poland|Oddział Hematologiczny Wojewódzkiego Szpitala Specjalistycznego w Legnicy, Legnica, Poland|Klinika Hematoonkologii I Transplantacji Szpiku, Uniwersytet Medyczny w Lublinie, Lublin, Poland|Oddział Kliniczny Hematologii Samodzielnego Publicznego Zakładu Opieki Zdrowotnej MSWiA z Warmińsko-Mazurskim Centrum Onkologii w Olsztynie, Olsztyn, Poland|Klinika Hematologii i Chorób Rozrostowych Układu Krwiotwórczego Uniwersytetu Medycznego w Poznaniu, Poznań, Poland|Klinika Hematologii, Kliniczny Szpital Wojewódzki nr 1, Rzeszów, Poland|Klinika Hematologii Pomorskiego Uniwersytetu Medycznego, Szczecin, Poland|Oddział Hematologii, Specjalistyczny Szpital Miejski, Toruń, Poland|Klinika Chorób Wewnętrznych i Hematologii Wojskowy Instytut Medyczny, Warszawa, Poland|Klinika Hematologii, Instytut Hematologii i Transfuzjologii, Warszawa, Poland|Klinika Hematologii, Onkologii i Chorób Wewnętrznych Warszawskiego Uniwersytetu Medycznego, Warszawa, Poland|Katedra i Klinika Hematologii, Nowotworów Krwi i Transplantacji Szpiku, Wrocław, Poland|Oddział Hematologiczny Z Oddziałem Nowotworów Krwi Dolnośląskie Centrum Transplantacji Komórkowych Z Krajowym Bankiem Dawców Szpiku, Wrocław, Poland	https://ClinicalTrials.gov/show/NCT04920968
30	Feasibility Study to Evaluate Outpatient Blinatumomab in Subjects With Minimal Residual Disease (MRD) of B-precursor Acute Lymphoblastic Leukemia (ALL)	Not yet recruiting	No Results Available	B-precursor Acute Lymphoblastic Leukemia	Drug: Blinatumomab	Research Site, Orange, California, United States|Research Site, Orlando, Florida, United States|Research Site, Winston-Salem, North Carolina, United States|Research Site, Greenville, South Carolina, United States	https://ClinicalTrials.gov/show/NCT04506086
31	Blinatumomab and Pembrolizumab for Adults With Relapsed/Refractory B-cell Acute Lymphoblastic Leukemia With High Marrow Lymphoblasts	Recruiting	No Results Available	B-Cell Acute Lymphoblastic Leukemia, Adult	Drug: blinatumomab|Drug: pembrolizumab	UC San Diego Moores Cancer Center, La Jolla, California, United States|UC Irvine Health Chao Family Comprehensive Cancer Center, Orange, California, United States|UCSF Comprehensive Cancer Center, San Francisco, California, United States	https://ClinicalTrials.gov/show/NCT03160079
32	Clinical Study of ssCART-19 Cells in Patients With CD19 Positive Relapsed or Refractory Acute Lymphoblastic Leukemia	Recruiting	No Results Available	Relapsed or Refractory Acute Lymphoblastic Leukemia	Genetic: ssCART-19 Cells|Drug: Fludarabine|Drug: Cyclophosphamide	Shanghai Unicar-Therapy Bio-medicine Technology Co., Ltd., Shanghai, Shanghai, China	https://ClinicalTrials.gov/show/NCT04825496
33	De-escalated Treatment Approach for Adult Ph-negative Acute Lymphoblastic Leukemia (ALL)	Recruiting	No Results Available	Precursor Cell Lymphoblastic Leukemia-Lymphoma	Procedure: Autologous HSCT	National Research Center for Hematology, Moscow, Russian Federation	https://ClinicalTrials.gov/show/NCT03462095
34	Clinical Trial of CNCT19 Cell Injection in the Treatment of Relapsed or Refractory Acute Lymphoblastic Leukemia	Recruiting	No Results Available	Relapsed or Refractory Acute Lymphoblastic Leukemia	Biological: single dose of CNCT19	Beijing Boren Hospital, Beijing, Beijing, China|Xinqiao Hospital of TMMU, Chongqing, Chongqing, China|Yanda hospital, Hebei medical university, Sanhe, Hebei, China|Henan Cancer Hospital, Zhengzhou, Henan, China|The affiliated hospital of Xuzhou medical university, Xuzhou, Jiangsu, China|Tongji Hospital of Tongji University, Shanghai, Shanghai, China|West China Hospital，Sichuan University, Chengdu, Sichuan, China|Institute of Hematology & Blood Diseases Hospital, Tianjin, Tianjin, China|The First Affiliated Hospital, Zhejiang University school of Medicine, Hangzhou, Zhejiang, China	https://ClinicalTrials.gov/show/NCT04684147
35	A Clinical Trial of CNCT19 Cells in the Treatment of CD19 Positive Relapsed or Refractory Acute Lymphoblastic Leukemia	Recruiting	No Results Available	Relapsed or Refractory Acute Lymphoblastic Leukemia	Biological: single dose of CNCT19	Henan Cancer Hospital, Zhengzhou, Henan, China|Institute of Hematology & Blood Diseases Hospital, Tianjin, China	https://ClinicalTrials.gov/show/NCT04230473
36	Leukemia-Specific Immune Cells (BAFFR- CAR T Cells) for the Treatment of Relapsed or Refractory B-cell Acute Lymphoblastic Leukemia	Recruiting	No Results Available	Relapsed or Refractory B-cell Acute Lymphoblastic Leukemia	Biological: BAFFR-CAR T cells	City of Hope Medical Center, Duarte, California, United States	https://ClinicalTrials.gov/show/NCT04690595
37	Testing the Use of Steroids and Tyrosine Kinase Inhibitors With Blinatumomab or Chemotherapy for Newly Diagnosed BCR-ABL-Positive Acute Lymphoblastic Leukemia in Adults	Recruiting	No Results Available	B Acute Lymphoblastic Leukemia With t(9;22)(q34.1;q11.2); BCR-ABL1	Biological: Blinatumomab|Drug: Cyclophosphamide|Drug: Cytarabine|Drug: Dasatinib|Drug: Dexamethasone|Drug: Doxorubicin Hydrochloride|Drug: Mesna|Drug: Methotrexate|Drug: Ponatinib Hydrochloride|Drug: Prednisone|Drug: Vincristine Sulfate	Anchorage Associates in Radiation Medicine, Anchorage, Alaska, United States|Anchorage Radiation Therapy Center, Anchorage, Alaska, United States|Alaska Breast Care and Surgery LLC, Anchorage, Alaska, United States|Alaska Oncology and Hematology LLC, Anchorage, Alaska, United States|Alaska Women's Cancer Care, Anchorage, Alaska, United States|Anchorage Oncology Centre, Anchorage, Alaska, United States|Katmai Oncology Group, Anchorage, Alaska, United States|Providence Alaska Medical Center, Anchorage, Alaska, United States|Mercy Hospital Fort Smith, Fort Smith, Arkansas, United States|Providence Saint Joseph Medical Center/Disney Family Cancer Center, Burbank, California, United States|Community Cancer Institute, Clovis, California, United States|University Oncology Associates, Clovis, California, United States|UC Irvine Health/Chao Family Comprehensive Cancer Center, Orange, California, United States|Augusta University Medical Center, Augusta, Georgia, United States|Saint Luke's Cancer Institute - Boise, Boise, Idaho, United States|Saint Luke's Cancer Institute - Fruitland, Fruitland, Idaho, United States|Saint Luke's Cancer Institute - Meridian, Meridian, Idaho, United States|Saint Luke's Cancer Institute - Nampa, Nampa, Idaho, United States|Saint Luke's Cancer Institute - Twin Falls, Twin Falls, Idaho, United States|Saint Anthony's Health, Alton, Illinois, United States|Loyola Center for Health at Burr Ridge, Burr Ridge, Illinois, United States|Northwestern University, Chicago, Illinois, United States|Northwestern Medicine Lake Forest Hospital, Lake Forest, Illinois, United States|Loyola University Medical Center, Maywood, Illinois, United States|Marjorie Weinberg Cancer Center at Loyola-Gottlieb, Melrose Park, Illinois, United States|Good Samaritan Regional Health Center, Mount Vernon, Illinois, United States|Loyola Center for Cancer Care and Research, Orland Park, Illinois, United States|Mary Greeley Medical Center, Ames, Iowa, United States|McFarland Clinic PC - Ames, Ames, Iowa, United States|McFarland Clinic PC-Boone, Boone, Iowa, United States|McFarland Clinic PC-Trinity Cancer Center, Fort Dodge, Iowa, United States|McFarland Clinic PC-Jefferson, Jefferson, Iowa, United States|McFarland Clinic PC-Marshalltown, Marshalltown, Iowa, United States|Central Care Cancer Center - Garden City, Garden City, Kansas, United States|Central Care Cancer Center - Great Bend, Great Bend, Kansas, United States|LSU Health Sciences Center at Shreveport, Shreveport, Louisiana, United States|Walter Reed National Military Medical Center, Bethesda, Maryland, United States|Henry Ford Cancer Institute-Downriver, Brownstown, Michigan, United States|Henry Ford Macomb Hospital-Clinton Township, Clinton Township, Michigan, United States|Henry Ford Medical Center-Fairlane, Dearborn, Michigan, United States|Wayne State University/Karmanos Cancer Institute, Detroit, Michigan, United States|Henry Ford Hospital, Detroit, Michigan, United States|Weisberg Cancer Treatment Center, Farmington Hills, Michigan, United States|Allegiance Health, Jackson, Michigan, United States|Henry Ford Medical Center-Columbus, Novi, Michigan, United States|Henry Ford Macomb Health Center - Shelby Township, Shelby, Michigan, United States|Henry Ford West Bloomfield Hospital, West Bloomfield, Michigan, United States|Mayo Clinic in Rochester, Rochester, Minnesota, United States|Saint Louis Cancer and Breast Institute-Ballwin, Ballwin, Missouri, United States|Central Care Cancer Center - Bolivar, Bolivar, Missouri, United States|Siteman Cancer Center at West County Hospital, Creve Coeur, Missouri, United States|Freeman Health System, Joplin, Missouri, United States|Mercy Hospital Joplin, Joplin, Missouri, United States|Delbert Day Cancer Institute at PCRMC, Rolla, Missouri, United States|Mercy Clinic-Rolla-Cancer and Hematology, Rolla, Missouri, United States|Heartland Regional Medical Center, Saint Joseph, Missouri, United States|Saint Louis Cancer and Breast Institute-South City, Saint Louis, Missouri, United States|Washington University School of Medicine, Saint Louis, Missouri, United States|Mercy Hospital South, Saint Louis, Missouri, United States|Siteman Cancer Center-South County, Saint Louis, Missouri, United States|Siteman Cancer Center at Christian Hospital, Saint Louis, Missouri, United States|Mercy Hospital Saint Louis, Saint Louis, Missouri, United States|Siteman Cancer Center at Saint Peters Hospital, Saint Peters, Missouri, United States|Mercy Hospital Springfield, Springfield, Missouri, United States|CoxHealth South Hospital, Springfield, Missouri, United States|Mercy Hospital Washington, Washington, Missouri, United States|Saint Patrick Hospital - Community Hospital, Missoula, Montana, United States|Rutgers Cancer Institute of New Jersey, New Brunswick, New Jersey, United States|University of Rochester, Rochester, New York, United States|Duke University Medical Center, Durham, North Carolina, United States|Wake Forest University Health Sciences, Winston-Salem, North Carolina, United States|University of Cincinnati/Barrett Cancer Center, Cincinnati, Ohio, United States|MetroHealth Medical Center, Cleveland, Ohio, United States|Ohio State University Comprehensive Cancer Center, Columbus, Ohio, United States|University Pointe, West Chester, Ohio, United States|University of Oklahoma Health Sciences Center, Oklahoma City, Oklahoma, United States|Mercy Hospital Oklahoma City, Oklahoma City, Oklahoma, United States|Saint Charles Health System, Bend, Oregon, United States|Clackamas Radiation Oncology Center, Clackamas, Oregon, United States|Providence Cancer Institute Clackamas Clinic, Clackamas, Oregon, United States|Bay Area Hospital, Coos Bay, Oregon, United States|Providence Newberg Medical Center, Newberg, Oregon, United States|Providence Portland Medical Center, Portland, Oregon, United States|Providence Saint Vincent Medical Center, Portland, Oregon, United States|Saint Charles Health System-Redmond, Redmond, Oregon, United States|University of Pittsburgh Cancer Institute (UPCI), Pittsburgh, Pennsylvania, United States|Prisma Health Cancer Institute - Spartanburg, Boiling Springs, South Carolina, United States|Prisma Health Cancer Institute - Easley, Easley, South Carolina, United States|Prisma Health Cancer Institute - Butternut, Greenville, South Carolina, United States|Prisma Health Cancer Institute - Faris, Greenville, South Carolina, United States|Prisma Health Greenville Memorial Hospital, Greenville, South Carolina, United States|Prisma Health Cancer Institute - Eastside, Greenville, South Carolina, United States|Prisma Health Cancer Institute - Greer, Greer, South Carolina, United States|Prisma Health Cancer Institute - Seneca, Seneca, South Carolina, United States|Vanderbilt-Ingram Cancer Center Cool Springs, Franklin, Tennessee, United States|Vanderbilt Breast Center at One Hundred Oaks, Nashville, Tennessee, United States|Vanderbilt University/Ingram Cancer Center, Nashville, Tennessee, United States|UT Southwestern/Simmons Cancer Center-Dallas, Dallas, Texas, United States|Virginia Commonwealth University/Massey Cancer Center, Richmond, Virginia, United States|Providence Regional Cancer System-Aberdeen, Aberdeen, Washington, United States|PeaceHealth Saint Joseph Medical Center, Bellingham, Washington, United States|Providence Regional Cancer System-Centralia, Centralia, Washington, United States|Swedish Cancer Institute-Edmonds, Edmonds, Washington, United States|Providence Regional Cancer Partnership, Everett, Washington, United States|Swedish Cancer Institute-Issaquah, Issaquah, Washington, United States|Kadlec Clinic Hematology and Oncology, Kennewick, Washington, United States|Providence Regional Cancer System-Lacey, Lacey, Washington, United States|PeaceHealth Saint John Medical Center, Longview, Washington, United States|Pacific Gynecology Specialists, Seattle, Washington, United States|Swedish Medical Center-Ballard Campus, Seattle, Washington, United States|Swedish Medical Center-First Hill, Seattle, Washington, United States|Swedish Medical Center-Cherry Hill, Seattle, Washington, United States|PeaceHealth United General Medical Center, Sedro-Woolley, Washington, United States|Providence Regional Cancer System-Shelton, Shelton, Washington, United States|PeaceHealth Southwest Medical Center, Vancouver, Washington, United States|Providence Saint Mary Regional Cancer Center, Walla Walla, Washington, United States|Providence Regional Cancer System-Yelm, Yelm, Washington, United States|Marshfield Medical Center-EC Cancer Center, Eau Claire, Wisconsin, United States|Marshfield Medical Center-Marshfield, Marshfield, Wisconsin, United States|Marshfield Clinic-Minocqua Center, Minocqua, Wisconsin, United States|Marshfield Medical Center-Rice Lake, Rice Lake, Wisconsin, United States|Marshfield Clinic Stevens Point Center, Stevens Point, Wisconsin, United States|Marshfield Medical Center - Weston, Weston, Wisconsin, United States|Shaare Zedek Medical Center, Jerusalem, Israel	https://ClinicalTrials.gov/show/NCT04530565
